Taxa, Bantu_chrY_reduced.fasta, STL624_CMOS.tnt, BantuBantoid_Culture_MX.nexus
M52Lala, +, -, -
Gekkota_Sphaerodactylidae_Pristurus_carteri, -, +, -
Scincomorpha_Gymnophthalmidae_Cercosaura_schreibersii, -, +, -
Anguimorpha_Anguidae_Anniella_geronimensis, -, +, -
J611Rwanda, +, -, -
Scincomorpha_Scincidae_Tropidophorus_berdmorei, -, +, -
Gekkota_Phyllodactylidae_Tarentola_chazaliae, -, +, -
Iguania_Opluridae_Chalarodon_madagascariensis, -, +, -
Iguania_Chamaeleonidae_Rieppeleon_kerstenii, -, +, -
Scincomorpha_Gerrhosauridae_Zonosaurus_madagascariensis, -, +, -
Gekkota_Pygopodidae_Paradelma_orientalis, -, +, -
Iguania_Leiosauridae_Leiosaurus_bellii, -, +, -
Gekkota_Phyllodactylidae_Phyllodactylus_xanti, -, +, -
Scincomorpha_Scincidae_Paracontias_brocchii, -, +, -
Scincomorpha_Gymnophthalmidae_Iphisa_elegans, -, +, -
Gekkota_Phyllodactylidae_Phyllodactylus_delcampoi, -, +, -
Gekkota_Gekkonidae_Hemidactylus_flaviviridis, -, +, -
Gekkota_Sphaerodactylidae_Sphaerodactylus_argus, -, +, -
Scincomorpha_Scincidae_Paracontias_holomelas, -, +, -
Gekkota_Phyllodactylidae_Phyllodactylus_nocticolus, -, +, -
Iguania_Phrynosomatidae_Sceloporus_parvus, -, +, -
Iguania_Leiosauridae_Diplolaemus_darwinii, -, +, -
Anguimorpha_Lanthanotidae_Lanthanotus_borneensis, -, +, -
Scincomorpha_Scincidae_Mesoscincus_schwartzei, -, +, -
Scincomorpha_Scincidae_Bassiana_platynota, -, +, -
Gekkota_Gekkonidae_Rhoptropus_boultoni, -, +, -
Gekkota_Sphaerodactylidae_Teratoscincus_scincus, -, +, -
Gekkota_Eublepharidae_Holodactylus_africanus, -, +, -
Gekkota_Sphaerodactylidae_Teratoscincus_keyserlingii, -, +, -
Scincomorpha_Scincidae_Typhlosaurus_caecus, -, +, -
Gekkota_Eublepharidae_Hemitheconyx_caudicinctus, -, +, -
Serpentes_Alethinophidia_Lamprophiidae_Atractaspis_bibronii, -, +, -
Serpentes_Alethinophidia_Colubridae_Thamnophis_sirtalis, -, +, -
Gekkota_Sphaerodactylidae_Euleptes_europaea, -, +, -
Iguania_Agamidae_Gonocephalus_grandis, -, +, -
Gekkota_Sphaerodactylidae_Sphaerodactylus_torrei, -, +, -
E711Pokomo, +, -, -
B80Mp1Madzing, +, -, -
Gekkota_Gekkonidae_Gekko_vittatus, -, +, -
D10SSonge, +, -, -
R111Umbundu, +, -, -
Outgroup_Crocodylia_Caiman_crocodilus, -, +, -
Iguania_Opluridae_Oplurus_cuvieri, -, +, -
Iguania_Agamidae_Pogona_barbata, -, +, -
Amphisbaenia_Amphisbaenidae_Amphisbaena_schmidti, -, +, -
Serpentes_Alethinophidia_Colubridae_Oreocryptophis_porphyracea, -, +, -
Anguimorpha_Xenosauridae_Xenosaurus_agrenon, -, +, -
Iguania_Tropiduridae_Tropidurus_etheridgei, -, +, -
Gekkota_Phyllodactylidae_Homonota_fasciata, -, +, -
Serpentes_Alethinophidia_Bolyeridae_Casarea_dussumieri, -, +, -
Anguimorpha_Anguidae_Ophisaurus_ventralis, -, +, -
Iguania_Agamidae_Bufoniceps_laungwalaensis, -, +, -
Serpentes_Alethinophidia_Lamprophiidae_Leioheterodon_madagascariensis, -, +, -
Iguania_Tropiduridae_Microlophus_stolzmanni, -, +, -
Anguimorpha_Anguidae_Dopasia_sokolovi, -, +, -
Serpentes_Alethinophidia_Elapidae_Naja_naja, -, +, -
J53Shi, +, -, -
Iguania_Leiosauridae_Enyalius_bilineatus, -, +, -
Scincomorpha_Scincidae_Trachylepis_striata, -, +, -
Gekkota_Gekkonidae_Uroplatus_phantasticus, -, +, -
G35Luguru, +, -, -
Gekkota_Eublepharidae_Coleonyx_elegans, -, +, -
Scincomorpha_Scincidae_Typhlosaurus_lomiae, -, +, -
Gekkota_Sphaerodactylidae_Saurodactylus_fasciatus, -, +, -
Gekkota_Gekkonidae_Phelsuma_borbonica, -, +, -
Scincomorpha_Xantusiidae_Cricosaura_typica, -, +, -
Anguimorpha_Anguidae_Diploglossus_pleei, -, +, -
Scincomorpha_Scincidae_Sphenomorphus_solomonis, -, +, -
Scincomorpha_Scincidae_Emoia_cyanura, -, +, -
Outgroup_Testudinata_Pelomedusa_subrufa, -, +, -
S21Venda, +, -, -
C36Lingala, +, -, -
Gekkota_Pygopodidae_Delma_tincta, -, +, -
E51Gikuyu, +, -, -
Gekkota_Diplodactylidae_Crenadactylus_ocellatus, -, +, -
Gekkota_Gekkonidae_Pachydactylus_austeni, -, +, -
B31Tsogo, +, -, -
G23Shambala, +, -, -
Scincomorpha_Scincidae_Liopholis_whitii, -, +, -
Serpentes_Scolecophidia_Typhlopidae_Typhlops_jamaicensis, -, +, -
Scincomorpha_Scincidae_Madascincus_melanopleura, -, +, -
Serpentes_Alethinophidia_Pythonidae_Python_regius, -, +, -
Gekkota_Sphaerodactylidae_Gonatodes_albogularis, -, +, -
Scincomorpha_Scincidae_Trachylepis_hoeschi, -, +, -
Gekkota_Sphaerodactylidae_Coleodactylus_septentrionalis, -, +, -
Scincomorpha_Scincidae_Voeltzkowia_lineata, -, +, -
Scincomorpha_Gerrhosauridae_Tetradactylus_tetradactylus, -, +, -
Iguania_Tropiduridae_Stenocercus_caducus, -, +, -
