Taxa, Bantu_chrY_reduced.fasta, New.fastc, BantuBantoid_Culture_MX.nexus
M52Lala, +, +, -
J611Rwanda, +, +, -
951Bangang, +, +, -
806Ambele, +, +, -
E711Pokomo, +, +, -
B80Mp1Madzing, +, +, -
D10SSonge, +, +, -
R111Umbundu, +, +, -
J53Shi, +, +, -
G35Luguru, +, +, -
S21Venda, +, +, -
C36Lingala, +, +, -
E51Gikuyu, +, +, -
B31Tsogo, +, +, -
G23Shambala, +, +, -
800Ejagham, +, +, -
M15Mambwe, +, +, -
D322Bira, +, +, -
H312YakaKasongo, +, +, -
H16i4Sundi, +, +, -
S34Lozi, +, +, -
K11Ciokwe, +, +, -
J16Soga, +, +, -
N31aNyanja, +, +, -
M641Tonga, +, +, -
B735Teke, +, +, -
R22Ndonga, +, +, -
B11aMpongwe, +, +, -
9703FeFe3, +, +, -
J23Zinza, +, +, -
P212Yao, +, +, -
S41Xhosa, +, +, -
E74bSagala, -, +, -
C40DDokoDoko, +, +, -
952Atsang, +, +, -
G12Kaguru, +, +, -
S42Zulu, +, +, -
G31Zigula, +, +, -
S44Ndebele, +, +, -
H12b1Yombe, +, +, -
K19Gangela, -, +, -
D372Kumu, +, +, -
H16hSikongo, +, +, -
S10Shona, +, +, -
E55Kamba, +, +, -
N42Kunda, +, +, -
C711Tetela, +, +, -
9702FeFe2, +, +, -
G43cHadimu, +, +, -
C34Sakata, +, +, -
J13Hima, +, +, -
805Amasi, +, +, -
G11Gogo, +, +, -
N31bCewa, +, +, -
S45Ngoni, +, +, -
C51Mbesa, +, +, -
F23Sumbwa, +, +, -
C611MongoNkundo, +, +, -
A242Duala, +, +, -
L33Luba, +, +, -
A43bBakoko, +, -, -
J22HHaya, +, +, -
K221Ndembu, +, +, -
D241Binja, +, +, -
E621Caga, +, +, -
E72a1Giryama, +, +, -
N31Nyasa, +, +, -
K141Lwena, +, +, -
894Asumbo, +, +, -
L42Kaonde, +, +, -
N212Tumbuka, +, +, -
C41Ngombe, +, +, -
C75Kela, +, -, -
M312Nyakyusa, +, +, -
S53Tsonga, +, +, -
A751Fang, +, +, -
F21Sukuma, +, +, -
J51Hunde, +, +, -
9601Ghomala1, +, -, -
9602Ghomala2, +, +, -
N44Sena, +, +, -
J62Rundi, +, +, -
C57Likile, +, +, -
F22Nyamwezi, +, +, -
9701FeFe1, +, +, -
802Tiv, +, +, -
G34Ngulu, +, +, -
P311Makwa, +, +, -
B251Kota, +, +, -
C613Mongo, +, +, -
R31Herero, +, +, +
H314Yaka, +, +, -
M42Bemba, +, +, -
H32Suku, +, +, -
S33Sotho, +, +, -
S43Swati, +, +, -
A321Puku, +, -, -
J15Ganda, +, +, -
E731Digo, +, +, -
M54Lamba, +, +, -
D253Lega, +, +, -
S31Tswana, +, +, +
C841Lele, +, +, -
S15Ndau, +, +, -
A31Bubi, +, +, -
